Submission Date & Time,Issue Type,Urgency,Priority,Description Details,Resolution Time (Hours)
2024-10-01 19:59:00,Maintenance Task,Moderate,High,Default description of maintenance task with moderate urgency.,37.6
2024-10-02 04:57:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,95.6
2024-10-01 13:22:00,System Outage,Critical,High,Default description of system outage with critical urgency.,43.4
2024-10-02 07:04:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,42.8
2024-10-02 01:12:00,Performance Issue,Routine,High,Default description of performance issue with routine urgency.,47.2
2024-10-02 01:24:00,Performance Issue,Routine,Low,Default description of performance issue with routine urgency.,24.7
2024-10-02 00:09:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,88.8
2024-10-01 23:37:00,Bug Report,Moderate,Low,Default description of bug report with moderate urgency.,27.3
2024-10-02 03:41:00,User Inquiry,Moderate,Low,Default description of user inquiry with moderate urgency.,31.3
2024-10-02 01:11:00,Performance Issue,Moderate,Low,Default description of performance issue with moderate urgency.,59.6
2024-10-01 14:32:00,System Outage,Routine,Medium,Default description of system outage with routine urgency.,39.5
2024-10-02 07:00:00,Data Discrepancy,Low,High,Default description of data discrepancy with low urgency.,77.9
2024-10-02 07:56:00,Hardware Failure,Moderate,Medium,Default description of hardware failure with moderate urgency.,74.4
2024-10-02 00:47:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,42.3
2024-10-02 01:47:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,59.4
2024-10-02 04:52:00,Bug Report,High,Low,Default description of bug report with high urgency.,37.1
2024-10-02 05:37:00,Feature Request,Moderate,Low,Default description of feature request with moderate urgency.,94.1
2024-10-01 17:23:00,Software Update,Routine,Low,Default description of software update with routine urgency.,35.8
2024-10-02 03:36:00,Security Incident,High,High,Default description of security incident with high urgency.,44.1
2024-10-02 00:50:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,92.3
2024-10-02 00:24:00,Security Incident,Routine,Low,Default description of security incident with routine urgency.,47.6
2024-10-01 18:16:00,System Outage,Scheduled,Medium,Default description of system outage with scheduled urgency.,54.9
2024-10-01 13:09:00,Compliance Check,High,Low,Default description of compliance check with high urgency.,56.6
2024-10-02 03:33:00,Configuration Change,High,Medium,Default description of configuration change with high urgency.,95.0
2024-10-01 15:08:00,System Outage,Scheduled,Medium,Default description of system outage with scheduled urgency.,84.0
2024-10-02 03:00:00,Data Discrepancy,Moderate,Low,Default description of data discrepancy with moderate urgency.,49.4
2024-10-01 14:50:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,28.5
2024-10-02 00:56:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,78.1
2024-10-01 13:04:00,Data Discrepancy,Moderate,Low,Default description of data discrepancy with moderate urgency.,82.7
2024-10-02 00:00:00,User Inquiry,Moderate,High,Default description of user inquiry with moderate urgency.,83.2
2024-10-01 17:03:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,92.8
2024-10-02 02:34:00,Performance Issue,Routine,Low,Default description of performance issue with routine urgency.,89.5
2024-10-01 15:41:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,62.6
2024-10-02 00:02:00,Configuration Change,High,Low,Default description of configuration change with high urgency.,96.0
2024-10-02 07:34:00,Bug Report,Routine,High,Default description of bug report with routine urgency.,61.3
2024-10-02 03:17:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,57.0
2024-10-01 11:27:00,Data Discrepancy,High,Medium,Default description of data discrepancy with high urgency.,63.6
2024-10-01 09:06:00,Feature Request,Moderate,Low,Default description of feature request with moderate urgency.,84.9
2024-10-01 15:37:00,Performance Issue,Routine,Medium,Default description of performance issue with routine urgency.,24.6
2024-10-02 05:32:00,Feature Request,Critical,Low,Default description of feature request with critical urgency.,42.3
2024-10-01 19:48:00,Access Request,Moderate,Medium,Default description of access request with moderate urgency.,53.7
2024-10-01 10:11:00,Compliance Check,Routine,High,Default description of compliance check with routine urgency.,62.5
2024-10-01 09:44:00,System Outage,Routine,Medium,Default description of system outage with routine urgency.,40.6
2024-10-02 05:00:00,Data Discrepancy,Low,Low,Default description of data discrepancy with low urgency.,41.1
2024-10-01 18:02:00,Software Update,Critical,Low,Default description of software update with critical urgency.,41.3
2024-10-02 02:46:00,Data Discrepancy,Moderate,Medium,Default description of data discrepancy with moderate urgency.,86.5
2024-10-02 03:01:00,Feature Request,High,High,Default description of feature request with high urgency.,39.6
2024-10-02 01:04:00,Security Incident,High,High,Default description of security incident with high urgency.,76.4
2024-10-02 00:09:00,Data Discrepancy,Low,High,Default description of data discrepancy with low urgency.,50.1
2024-10-02 04:32:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,92.9
2024-10-02 01:58:00,Access Request,Low,Low,Default description of access request with low urgency.,49.3
2024-10-01 16:10:00,Access Request,Routine,High,Default description of access request with routine urgency.,93.4
2024-10-01 18:59:00,Access Request,Moderate,Low,Default description of access request with moderate urgency.,37.6
2024-10-01 17:00:00,Configuration Change,Scheduled,Low,Default description of configuration change with scheduled urgency.,48.9
2024-10-02 02:25:00,Performance Issue,Moderate,Medium,Default description of performance issue with moderate urgency.,45.6
2024-10-01 16:12:00,User Inquiry,Scheduled,Medium,Default description of user inquiry with scheduled urgency.,70.3
2024-10-01 20:23:00,Performance Issue,Moderate,High,Default description of performance issue with moderate urgency.,29.0
2024-10-01 15:14:00,Software Update,Scheduled,High,Default description of software update with scheduled urgency.,74.6
2024-10-02 07:02:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,81.4
2024-10-02 02:44:00,Access Request,Low,Medium,Default description of access request with low urgency.,62.5
2024-10-01 09:50:00,Access Request,Low,Low,Default description of access request with low urgency.,54.8
2024-10-01 09:47:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,91.9
2024-10-01 23:09:00,Access Request,Moderate,High,Default description of access request with moderate urgency.,56.6
2024-10-02 00:11:00,User Inquiry,Moderate,High,Default description of user inquiry with moderate urgency.,58.8
2024-10-02 00:37:00,Configuration Change,Scheduled,Low,Default description of configuration change with scheduled urgency.,54.2
2024-10-01 17:57:00,Bug Report,Routine,Low,Default description of bug report with routine urgency.,71.9
2024-10-01 23:30:00,User Inquiry,Scheduled,Low,Default description of user inquiry with scheduled urgency.,47.2
2024-10-02 01:14:00,Access Request,Low,Low,Default description of access request with low urgency.,78.9
2024-10-01 17:40:00,Compliance Check,High,Low,Default description of compliance check with high urgency.,33.6
2024-10-01 11:56:00,Security Incident,Scheduled,High,Default description of security incident with scheduled urgency.,37.6
2024-10-01 16:57:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,93.5
2024-10-01 12:13:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,44.9
2024-10-02 07:56:00,Configuration Change,High,Low,Default description of configuration change with high urgency.,35.6
2024-10-01 19:28:00,Software Update,Low,Low,Default description of software update with low urgency.,31.9
2024-10-01 21:53:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,40.4
2024-10-02 06:50:00,Feature Request,Scheduled,Low,Default description of feature request with scheduled urgency.,56.1
2024-10-02 07:55:00,Compliance Check,High,High,Default description of compliance check with high urgency.,77.6
2024-10-02 05:17:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,93.4
2024-10-01 22:42:00,User Inquiry,Critical,Medium,Default description of user inquiry with critical urgency.,64.6
2024-10-01 13:13:00,Software Update,Low,Medium,Default description of software update with low urgency.,78.8
2024-10-01 17:54:00,Maintenance Task,Critical,High,Default description of maintenance task with critical urgency.,54.1
2024-10-01 08:23:00,Data Discrepancy,High,High,Default description of data discrepancy with high urgency.,84.4
2024-10-01 15:42:00,Performance Issue,Routine,High,Default description of performance issue with routine urgency.,36.0
2024-10-02 03:00:00,Compliance Check,Scheduled,Low,Default description of compliance check with scheduled urgency.,61.0
2024-10-02 07:13:00,Security Incident,Low,Medium,Default description of security incident with low urgency.,84.5
2024-10-01 17:15:00,Hardware Failure,Critical,High,Default description of hardware failure with critical urgency.,60.5
2024-10-01 15:10:00,Bug Report,High,Low,Default description of bug report with high urgency.,37.6
2024-10-01 10:19:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,44.7
2024-10-01 12:57:00,Bug Report,Low,High,Default description of bug report with low urgency.,77.4
2024-10-01 08:14:00,Security Incident,Critical,Medium,Default description of security incident with critical urgency.,48.5
2024-10-01 08:31:00,Configuration Change,High,Medium,Default description of configuration change with high urgency.,42.6
2024-10-01 20:16:00,Data Discrepancy,Low,High,Default description of data discrepancy with low urgency.,53.2
2024-10-01 12:16:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,65.7
2024-10-01 14:36:00,Access Request,Scheduled,Low,Default description of access request with scheduled urgency.,72.1
2024-10-02 07:54:00,Configuration Change,Critical,Medium,Default description of configuration change with critical urgency.,37.8
2024-10-01 19:08:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,53.6
2024-10-01 09:57:00,System Outage,Low,Medium,Default description of system outage with low urgency.,68.6
2024-10-01 13:14:00,Compliance Check,Low,Low,Default description of compliance check with low urgency.,73.8
2024-10-02 06:53:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,39.9
2024-10-02 03:21:00,Hardware Failure,Moderate,Low,Default description of hardware failure with moderate urgency.,67.4
2024-10-02 03:51:00,Feature Request,High,Low,Default description of feature request with high urgency.,92.8
2024-10-01 09:00:00,Security Incident,Moderate,High,Default description of security incident with moderate urgency.,41.6
2024-10-02 06:24:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,88.7
2024-10-01 21:26:00,Maintenance Task,Routine,Low,Default description of maintenance task with routine urgency.,49.2
